name,education,awards
Neil J. Gunther,"['La Trobe University', 'University of Southampton']",[]
Jürg Gutknecht,['ETH Zurich'],[]
Michael Guy,[],[]
Nico Habermann,"['Free University of Amsterdam', 'Eindhoven University of Technology']",[]
Philipp Matthäus Hahn,[],[]
Eldon C. Hall,"['University of Washington', 'Rutgers University', 'Eastern Nazarene College', 'Boston University', 'Massachusetts Institute of Technology', 'Harvard University']",[]
Wendy Hall,"['Ealing Grammar School for Girls', 'University of Southampton', 'City University London']",['Suffrage Science award']
Joseph Halpern,[],"['Gödel Prize', 'Allen Newell Award', 'Dijkstra Prize']"
Margaret Hamilton,"['University of Michigan', 'Earlham College']",['Presidential Medal of Freedom']
Richard Hamming,"['University of Chicago', 'University of Nebraska', 'University of Illinois at Urbana–Champaign']","['Turing Award', 'IEEE Emanuel R. Piore Award', 'Harold Pender Award', 'IEEE Hamming Medal']"
Jiawei Han,"['University of Wisconsin - Madison', 'University of Science and Technology of China']",[]
Frank Harary,"['Brooklyn College', 'University of California, Berkeley']",[]
Brian Harris,"['School of Oriental and African Studies', 'American University in Cairo', ""Quai d'Orsay""]",[]
Juris Hartmanis,"['University of Marburg', 'University of Kansas City', 'Caltech']",['Turing Award']
Johan Håstad,"['Massachusetts Institute of Technology', 'Uppsala University', 'Stockholm University']","['IMO gold medal', 'ACM Doctoral Dissertation Award', 'Gödel Prize', 'Knuth Prize']"
Les Hatton,"[""King's College, Cambridge""]",['Conrad Schlumberger Award']
Igor Hawryszkiewycz,[],[]
He Jifeng,['Fudan University'],[]
Eric Hehner,"['Carleton University', 'University of Toronto']",[]
Martin Hellman,"['New York University', 'Stanford University']","['IEEE Centennial Medal', 'EFF Pioneer Award', 'Louis E. Levy Medal', 'Golden Jubilee Awards for Technological Innovation', 'Marconi Prize', 'National Academy of Engineering', 'Hamming Medal', 'Computer History Museum', 'Turing Award']"
Gernot Heiser,"['University of Freiburg', 'Brock University', 'ETH Zurich']","['Leopoldina Member', 'RSN Fellow', 'ACM SIGOPS Hall of Fame Award', 'ATSE Fellow', 'IEEE Fellow', 'ACM Fellow']"
James Hendler,"['Yale University', 'Southern Methodist University', 'Brown University']",[]
John L. Hennessy,"['Alma mater', 'Villanova University', 'Stony Brook University']","['Charles Stark Draper Prize', 'Turing Award', 'BBVA Foundation Frontiers of Knowledge Award', 'Clark Kerr Award', 'IEEE Medal of Honor', 'Member of the National Academy of Sciences', 'Fellow of the American Academy of Arts and Sciences', 'ACM Fellow', 'Fellow of the Royal Academy of Engineering']"
Andrew Herbert,[],[]
Carl Hewitt,['MIT'],[]
Kelsey Hightower,[],[]
Danny Hillis,['Massachusetts Institute of Technology'],"['Dan David Prize', 'Grace Murray Hopper Award']"
Geoffrey Hinton,"['University of Cambridge', 'University of Edinburgh']","['AAAI Fellow', 'Rumelhart Prize', 'IJCAI Award for Research Excellence', 'IEEE Frank Rosenblatt Award', 'James Clerk Maxwell Medal', 'BBVA Foundation Frontiers of Knowledge Award', 'Turing Award', 'Dickson Prize', 'Princess of Asturias Award']"
Julia Hirschberg,"['University of Pennsylvania', 'University of Michigan']","['American Academy of Arts and Sciences', 'IEEE', 'National Academy of Engineering', 'ACM Fellow', 'ACL', 'AAAI Fellow', 'International Speech Communication Association', 'KTH', 'IEEE James L. Flanagan Speech and Audio Processing Award']"
Tin Kam Ho,[],[]
Tony Hoare,"['University of Oxford', 'Moscow State University']","['Turing Award', 'Harry H. Goode Memorial Award', 'Faraday Medal', 'Computer Pioneer Award', 'Kyoto Prize', 'IEEE John von Neumann Medal', 'Royal Medal']"
Louis Hodes,"['Polytechnic Institute of Brooklyn', 'MIT']",[]
Betty Holberton,['University of Pennsylvania'],"['Department of Commerce Silver Medal', 'Ada Lovelace Award', 'IEEE Computer Pioneer Award', 'WITI Hall of Fame']"
John Henry Holland,['University of Michigan'],"['MacArthur Fellow', 'Harold Pender Award']"
Herman Hollerith,"['City College of New York', 'Columbia University']","['Elliott Cresson Medal', ""World's Columbian Exposition"", 'National Inventors Hall of Fame']"
Gerard J. Holzmann,['Delft University of Technology'],['Paris Kanellakis Award']
John Hopcroft,"['Seattle University', 'Stanford University']","['Turing Award', 'Member of the National Academy of Sciences', 'Member of the National Academy of Engineering', 'Foreign Member of the Chinese Academy of Sciences', 'Fellow of the American Academy of Arts and Sciences', 'Fellow of the American Association for the Advancement of Science', 'Fellow of the Institute of Electrical and Electronics Engineers', 'Fellow of the Association for Computing Machinery']"
Grace Hopper,"['Vassar College', 'Yale University']","['Defense Distinguished Service Medal', 'Legion of Merit', 'Meritorious Service Medal', 'American Campaign Medal', 'World War II Victory Medal', 'National Defense Service Medal', 'Armed Forces Reserve Medal', 'Hourglass Devices', 'Naval Reserve Medal', 'Presidential Medal of Freedom']"
Eric Horvitz,[],[]
Alston Scott Householder,['University of Chicago'],[]
Paul Hudak,"['Vanderbilt University', 'Massachusetts Institute of Technology', 'University of Utah']","['Presidential Young Investigator Award', 'ACM Fellow', 'ICFP']"
David A. Huffman,"['Ohio State University', 'Massachusetts Institute of Technology']",['IEEE Richard W. Hamming Medal']
John Hughes,['University of Oxford'],['ACM Fellow']
Roger Hui,"['University of Alberta', 'University of Toronto']",['Kenneth E. Iverson Award for Outstanding Contribution to APL']
Watts Humphrey,[],['National Medal of Technology']
Sandra Hutchins,[],[]
Jean Ichbiah,[],[]
Roberto Ierusalimschy,['Pontifical Catholic University of Rio de Janeiro'],[]
Dan Ingalls,"['Harvard University', 'Stanford University']","['ACM', 'Grace Murray Hopper Award', 'ACM Software Systems Award']"
Mary Jane Irwin,"['University of Illinois at Urbana-Champaign', 'Memphis State University']","['ACM Fellow', 'IEEE Fellow', 'NAE']"
Kenneth E. Iverson,"[""Queen's University"", 'Harvard University']","['IBM Fellow', 'Harry H. Goode Memorial Award', 'Turing Award', 'Computer Pioneer Award']"
Ivar Jacobson,"['Chalmers Institute of Technology', 'Gothenburg', 'Royal Institute of Technology', 'Stockholm']",[]
Anil K. Jain,"['Alma mater', 'Indian Institute of Technology, Kanpur', 'Ohio State University']","['IIT Kanpur', 'National Academy of Engineering', 'Indian National Academy of Engineering', 'IAPR', 'King-Sun Fu', 'IEEE', 'W. Wallace McDowell Award', 'IEEE Computer Society', 'IAPR', 'Humboldt Research Award', 'Guggenheim Fellowship', 'Fulbright Fellowship']"
Ramesh Jain,"['Indian Institute of Technology, Kharagpur', 'Visvesvaraya National Institute of Technology Nagpur']",[]
Jonathan James,[],[]
David S. Johnson,"['Amherst College', 'MIT']","['ACM Fellow', 'Knuth Prize']"
Stephen C. Johnson,"['Columbia University', 'Haverford College']",[]
Angie Jones,"['Tennessee State University', 'North Carolina State University', '']",[]
Cliff Jones,['University of Oxford'],[]
Michael I. Jordan,"['University of California, San Diego']","['Member of the National Academy of Sciences', 'AAAI Fellow', 'Rumelhart Prize', 'IJCAI Award for Research Excellence', 'IEEE John von Neumann Medal']"
Mathai Joseph,"['Wilson College, Mumbai', 'University of Bombay', 'Welsh College of Advanced Technology', 'University of Cambridge']",[]
